Country,Vessel,Cruise,Log,Year,Month,Day,Species,ChUppDepth,ChLowDepth,SA
NL,PBVO,HERAS2014,45,2014,7,1,HER,100,150,0
NL,PBVO,HERAS2014,46,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,46,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,46,2014,7,1,HER,100,150,0
NL,PBVO,HERAS2014,47,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,47,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,48,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,48,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,49,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,49,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,50,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,50,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,51,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,51,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,52,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,52,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,52,2014,7,1,HER,100,150,0
NL,PBVO,HERAS2014,53,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,53,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,54,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,54,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,54,2014,7,1,HER,100,150,0
NL,PBVO,HERAS2014,55,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,55,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,55,2014,7,1,HER,100,150,0
NL,PBVO,HERAS2014,56,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,56,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,57,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,57,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,58,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,58,2014,7,1,HER,50,100,482.47
NL,PBVO,HERAS2014,59,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,59,2014,7,1,HER,50,100,1835.88
NL,PBVO,HERAS2014,59,2014,7,1,HER,100,150,0
NL,PBVO,HERAS2014,60,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,60,2014,7,1,HER,50,100,100.57
NL,PBVO,HERAS2014,60,2014,7,1,HER,100,150,89.36
NL,PBVO,HERAS2014,61,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,61,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,61,2014,7,1,HER,100,150,0
NL,PBVO,HERAS2014,62,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,62,2014,7,1,HER,50,100,53.91
NL,PBVO,HERAS2014,62,2014,7,1,HER,100,150,252.49
NL,PBVO,HERAS2014,63,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,63,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,63,2014,7,1,HER,100,150,0
NL,PBVO,HERAS2014,64,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,64,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,64,2014,7,1,HER,100,150,23.19
NL,PBVO,HERAS2014,65,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,65,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,65,2014,7,1,HER,100,150,0
NL,PBVO,HERAS2014,66,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,66,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,66,2014,7,1,HER,100,150,0
NL,PBVO,HERAS2014,67,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,67,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,67,2014,7,1,HER,100,150,313.53
NL,PBVO,HERAS2014,68,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,68,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,68,2014,7,1,HER,100,150,137.56
NL,PBVO,HERAS2014,69,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,69,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,69,2014,7,1,HER,100,150,0
NL,PBVO,HERAS2014,70,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,70,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,70,2014,7,1,HER,100,150,1073.67
NL,PBVO,HERAS2014,71,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,71,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,71,2014,7,1,HER,100,150,2.61
NL,PBVO,HERAS2014,72,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,72,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,72,2014,7,1,HER,100,150,838.74
NL,PBVO,HERAS2014,73,2014,7,1,HER,0,50,38.83
NL,PBVO,HERAS2014,73,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,73,2014,7,1,HER,100,150,157.12
NL,PBVO,HERAS2014,75,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,75,2014,7,1,HER,50,100,0.1
NL,PBVO,HERAS2014,75,2014,7,1,HER,100,150,36.55
NL,PBVO,HERAS2014,76,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,76,2014,7,1,HER,50,100,9442.75
NL,PBVO,HERAS2014,76,2014,7,1,HER,100,150,1170.79
NL,PBVO,HERAS2014,87,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,87,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,87,2014,7,1,HER,100,150,0
NL,PBVO,HERAS2014,88,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,88,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,88,2014,7,1,HER,100,150,9.26
NL,PBVO,HERAS2014,89,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,89,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,89,2014,7,1,HER,100,150,0
NL,PBVO,HERAS2014,90,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,90,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,90,2014,7,1,HER,100,150,0
NL,PBVO,HERAS2014,91,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,91,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,91,2014,7,1,HER,100,150,0
NL,PBVO,HERAS2014,92,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,92,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,92,2014,7,1,HER,100,150,0
NL,PBVO,HERAS2014,93,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,93,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,93,2014,7,1,HER,100,150,5.79
NL,PBVO,HERAS2014,94,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,94,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,94,2014,7,1,HER,100,150,2.06
NL,PBVO,HERAS2014,95,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,95,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,95,2014,7,1,HER,100,150,226.16
NL,PBVO,HERAS2014,96,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,96,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,96,2014,7,1,HER,100,150,165.93
NL,PBVO,HERAS2014,97,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,97,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,97,2014,7,1,HER,100,150,240.43
NL,PBVO,HERAS2014,98,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,98,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,98,2014,7,1,HER,100,150,308.48
NL,PBVO,HERAS2014,99,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,99,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,99,2014,7,1,HER,100,150,828.02
NL,PBVO,HERAS2014,100,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,100,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,100,2014,7,1,HER,100,150,658.57
NL,PBVO,HERAS2014,101,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,101,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,101,2014,7,1,HER,100,150,1152.65
NL,PBVO,HERAS2014,102,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,102,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,102,2014,7,1,HER,100,150,973.37
NL,PBVO,HERAS2014,103,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,103,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,103,2014,7,1,HER,100,150,321.3
NL,PBVO,HERAS2014,104,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,104,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,104,2014,7,1,HER,100,150,281.43
NL,PBVO,HERAS2014,105,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,105,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,105,2014,7,1,HER,100,150,151.76
NL,PBVO,HERAS2014,106,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,106,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,106,2014,7,1,HER,100,150,173.48
NL,PBVO,HERAS2014,107,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,107,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,107,2014,7,1,HER,100,150,528.37
NL,PBVO,HERAS2014,108,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,108,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,108,2014,7,1,HER,100,150,989.62
NL,PBVO,HERAS2014,109,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,109,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,109,2014,7,1,HER,100,150,1301.77
NL,PBVO,HERAS2014,110,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,110,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,110,2014,7,1,HER,100,150,915.34
NL,PBVO,HERAS2014,111,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,111,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,111,2014,7,1,HER,100,150,374.01
NL,PBVO,HERAS2014,112,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,112,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,112,2014,7,1,HER,100,150,810.38
NL,PBVO,HERAS2014,113,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,113,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,113,2014,7,1,HER,100,150,417.81
NL,PBVO,HERAS2014,114,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,114,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,114,2014,7,1,HER,100,150,251.03
NL,PBVO,HERAS2014,115,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,115,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,115,2014,7,1,HER,100,150,105.59
NL,PBVO,HERAS2014,116,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,116,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,116,2014,7,1,HER,100,150,49.78
NL,PBVO,HERAS2014,117,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,117,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,117,2014,7,1,HER,100,150,110.21
NL,PBVO,HERAS2014,118,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,118,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,118,2014,7,1,HER,100,150,204.16
NL,PBVO,HERAS2014,119,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,119,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,119,2014,7,1,HER,100,150,292.84
NL,PBVO,HERAS2014,120,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,120,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,120,2014,7,1,HER,100,150,545.28
NL,PBVO,HERAS2014,121,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,121,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,121,2014,7,1,HER,100,150,174.01
NL,PBVO,HERAS2014,122,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,122,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,122,2014,7,1,HER,100,150,212.46
NL,PBVO,HERAS2014,123,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,123,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,123,2014,7,1,HER,100,150,111.26
NL,PBVO,HERAS2014,124,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,124,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,124,2014,7,1,HER,100,150,112.07
NL,PBVO,HERAS2014,125,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,125,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,125,2014,7,1,HER,100,150,220.16
NL,PBVO,HERAS2014,133,2014,7,1,HER,0,50,11.49
NL,PBVO,HERAS2014,133,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,133,2014,7,1,HER,100,150,18.44
NL,PBVO,HERAS2014,134,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,134,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,134,2014,7,1,HER,100,150,0
NL,PBVO,HERAS2014,135,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,135,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,135,2014,7,1,HER,100,150,337.72
NL,PBVO,HERAS2014,136,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,136,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,136,2014,7,1,HER,100,150,664.43
NL,PBVO,HERAS2014,137,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,137,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,137,2014,7,1,HER,100,150,241.25
NL,PBVO,HERAS2014,138,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,138,2014,7,1,HER,50,100,0.61
NL,PBVO,HERAS2014,138,2014,7,1,HER,100,150,1211.02
NL,PBVO,HERAS2014,139,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,139,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,139,2014,7,1,HER,100,150,282.94
NL,PBVO,HERAS2014,140,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,140,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,140,2014,7,1,HER,100,150,177.79
NL,PBVO,HERAS2014,141,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,141,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,141,2014,7,1,HER,100,150,34.21
NL,PBVO,HERAS2014,142,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,142,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,142,2014,7,1,HER,100,150,55.03
NL,PBVO,HERAS2014,143,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,143,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,143,2014,7,1,HER,100,150,411.78
NL,PBVO,HERAS2014,144,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,144,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,144,2014,7,1,HER,100,150,2545.97
NL,PBVO,HERAS2014,145,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,145,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,145,2014,7,1,HER,100,150,402.77
NL,PBVO,HERAS2014,146,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,146,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,146,2014,7,1,HER,100,150,184.4
NL,PBVO,HERAS2014,147,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,147,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,147,2014,7,1,HER,100,150,282.68
NL,PBVO,HERAS2014,148,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,148,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,148,2014,7,1,HER,100,150,886.28
NL,PBVO,HERAS2014,149,2014,7,1,HER,0,50,27.26
NL,PBVO,HERAS2014,149,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,149,2014,7,1,HER,100,150,2796.2
NL,PBVO,HERAS2014,150,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,150,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,150,2014,7,1,HER,100,150,293.22
NL,PBVO,HERAS2014,151,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,151,2014,7,1,HER,50,100,3.97
NL,PBVO,HERAS2014,151,2014,7,1,HER,100,150,780.43
NL,PBVO,HERAS2014,152,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,152,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,152,2014,7,1,HER,100,150,79
NL,PBVO,HERAS2014,153,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,153,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,153,2014,7,1,HER,100,150,78.16
NL,PBVO,HERAS2014,154,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,154,2014,7,1,HER,50,100,99.77
NL,PBVO,HERAS2014,154,2014,7,1,HER,100,150,2188.12
NL,PBVO,HERAS2014,156,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,156,2014,7,1,HER,50,100,0.01
NL,PBVO,HERAS2014,156,2014,7,1,HER,100,150,2274.48
NL,PBVO,HERAS2014,157,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,157,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,157,2014,7,1,HER,100,150,1701.16
NL,PBVO,HERAS2014,158,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,158,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,158,2014,7,1,HER,100,150,367.97
NL,PBVO,HERAS2014,159,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,159,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,159,2014,7,1,HER,100,150,0
NL,PBVO,HERAS2014,160,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,160,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,160,2014,7,1,HER,100,150,0
NL,PBVO,HERAS2014,161,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,161,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,161,2014,7,1,HER,100,150,0
NL,PBVO,HERAS2014,162,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,162,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,162,2014,7,1,HER,100,150,0
NL,PBVO,HERAS2014,164,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,164,2014,7,1,HER,50,100,30.22
NL,PBVO,HERAS2014,165,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,165,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,166,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,166,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,167,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,167,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,168,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,168,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,169,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,169,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,170,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,170,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,171,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,171,2014,7,1,HER,50,100,99.59
NL,PBVO,HERAS2014,172,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,172,2014,7,1,HER,50,100,156.13
NL,PBVO,HERAS2014,173,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,173,2014,7,1,HER,50,100,6.06
NL,PBVO,HERAS2014,174,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,174,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,175,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,175,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,176,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,176,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,177,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,177,2014,7,1,HER,50,100,730.6
NL,PBVO,HERAS2014,178,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,178,2014,7,1,HER,50,100,278.41
NL,PBVO,HERAS2014,179,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,179,2014,7,1,HER,50,100,463.41
NL,PBVO,HERAS2014,180,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,180,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,181,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,181,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,181,2014,7,1,HER,100,150,0
NL,PBVO,HERAS2014,182,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,182,2014,7,1,HER,50,100,1173.33
NL,PBVO,HERAS2014,182,2014,7,1,HER,100,150,134.73
NL,PBVO,HERAS2014,183,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,183,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,183,2014,7,1,HER,100,150,0
NL,PBVO,HERAS2014,184,2014,7,1,HER,0,50,0
NL,PBVO,HERAS2014,184,2014,7,1,HER,50,100,0
NL,PBVO,HERAS2014,184,2014,7,1,HER,100,150,0
