haul,fishno,weight,length,sex,mat,age
1,1,84,21.5,m,2,2012
1,2,100,22.5,f,4,2011
1,3,117,23.5,f,4,2011
1,4,117,23.5,f,4,2011
1,5,119,23.5,f,4,2011
1,6,123,23.5,m,2,2010
1,7,116,23.5,f,4,2011
1,8,135,24,m,4,2011
1,9,125,24,f,4,2010
1,10,111,24,f,4,2011
1,11,118,24,m,4,2010
1,12,138,24,f,4,2011
1,13,132,24.5,m,4,2011
1,14,124,24.5,f,4,2011
1,15,124,24.5,m,4,2011
1,16,129,24.5,m,4,2011
1,17,166,25,m,4,2011
1,18,135,25,f,4,2011
1,19,158,25,f,4,2011
1,20,125,25,m,4,2010
1,21,152,25,m,4,2011
1,22,153,25.5,f,4,2010
1,23,149,25.5,m,4,2010
1,24,152,25.5,m,4,2010
1,25,154,25.5,f,4,2011
1,26,163,25.5,m,4,2009
1,27,163,26,m,4,2009
1,28,167,26,f,4,2011
1,29,164,26,m,4,2009
1,30,163,26,m,4,2009
1,31,170,26,m,4,2009
1,32,173,26.5,f,4,2009
1,33,182,27,f,4,2011
1,34,163,26.5,m,4,2010
1,35,173,26.5,m,4,2009
1,36,194,26.5,m,4,2008
1,37,181,27,m,4,2010
1,38,172,27.5,f,4,2010
1,39,170,27,f,4,2008
1,40,183,27,m,4,2008
1,41,194,27,f,4,2009
1,42,189,27.5,m,4,2008
1,43,204,27.5,f,4,2007
1,44,174,27.5,f,4,2007
1,45,202,27.5,f,4,2007
1,46,183,27.5,m,4,2008
1,47,191,28,f,4,2010
1,48,201,28,m,4,2010
1,49,201,28,f,4,2006
1,50,175,28,m,4,2006
1,51,205,28,m,4,2007
1,52,228,28.5,f,4,2008
1,53,209,28.5,f,4,2007
1,54,199,28.5,m,4,2011
1,55,203,28.5,m,4,2008
1,56,209,28.5,f,4,2002
1,57,212,29,m,4,2007
1,58,226,29,f,4,2007
1,59,205,29,m,4,2007
1,60,240,29,f,4,2008
1,61,246,29,m,4,2007
1,62,203,29.5,m,4,2008
1,63,228,29.5,f,4,2009
1,64,226,29.5,m,4,2008
1,65,214,29,f,4,2006
1,66,261,29.5,f,4,2008
1,67,250,30,m,4,2002
1,68,249,30,f,4,2007
1,69,216,30,f,4,2005
1,70,254,30,m,4,2002
1,71,280,30,f,4,2006
1,72,256,30.5,f,4,2007
1,73,286,31.5,f,4,2004
2,1,107,23,m,2,2011
2,2,133,24,f,4,2011
2,3,142,25,m,4,2010
2,4,142,25.5,f,4,2011
2,5,131,25,f,4,2010
2,6,132,25,f,4,2009
2,7,127,25,f,4,2010
2,8,146,25.5,f,4,2010
2,9,152,25.5,m,4,2009
2,10,141,25.5,f,4,2009
2,11,141,25.5,f,4,2011
2,12,153,25.5,m,4,2009
2,13,138,26,f,4,2011
2,14,169,26,m,4,2010
2,15,163,26,m,4,2011
2,16,146,26,f,4,2011
2,17,152,26,m,4,2009
2,18,159,26.5,m,4,2009
2,19,156,26.5,m,4,2009
2,20,155,26.5,f,4,2010
2,21,154,26.5,m,4,2009
2,22,154,26.5,m,4,2009
2,23,172,27,f,4,2010
2,24,175,27,m,4,2009
2,25,205,27,f,4,2009
2,26,184,27.5,m,4,2010
2,27,164,27,m,4,2009
2,28,196,27.5,m,4,2010
2,29,172,27.5,m,4,2010
2,30,177,27.5,m,4,2007
2,31,173,27.5,f,4,2008
2,32,177,27.5,f,4,2007
2,33,190,28,m,4,2007
2,34,201,28,m,4,2006
2,35,182,28,f,4,2008
2,36,151,28,m,4,2007
2,37,190,28,f,4,2007
2,38,196,28.5,f,4,2009
2,39,190,28.5,f,4,2006
2,40,190,28.5,f,4,2011
2,41,199,28.5,f,4,2009
2,42,215,28.5,m,4,2008
2,43,232,29,m,4,2006
2,44,218,29,f,4,2007
2,45,215,29,f,4,2007
