haul,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
8,,,,,,,,,,,,,,,3,,,,,,,
8.5,,,,,,,,,,,,,,,24,,,,,,,
9,,,,,,,,,,,,,,,32,,,,,,,
9.5,,,,,,,,,,,,,,,9,,,,,,,
10,,,,,,,,,,,,,,,3,,,,,,,
10.5,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,1,,,,,,,1
11.5,,,,,,,,,,,,,,,,,,,,,1,2
12,,,,,,,,,,,,,,,,,,,,,1,15
12.5,,,,,,,,,,,,,,,,,,,,,1,22
13,,,,,,,,,,,,,,,,,,1,,,2,53
13.5,,,,,,,,,,,,,,,,,,,,,2,28
14,,,,,,,,,,,,,,,,,,,,,,27
14.5,,,,,,,,,,,,,,,,,,,,,,4
