Country,Vessel,Cruise,Log,Year,Month,Day,Hour,Min,AcLat,AcLon,Logint,Frequency,Sv_threshold,Process_ID,Interval
NL,PBVO,HERAS2013,3,2013,7,2,15,31,58.401,1.733,1,38000,-70,,3
NL,PBVO,HERAS2013,5,2013,7,2,15,46,58.4,1.659,0.3,38000,-70,,5
NL,PBVO,HERAS2013,7,2013,7,2,15,57,58.4,1.596,1,38000,-70,,7
NL,PBVO,HERAS2013,8,2013,7,2,16,3,58.4,1.565,1,38000,-70,,8
NL,PBVO,HERAS2013,9,2013,7,2,16,9,58.399,1.533,1.7,38000,-70,,9
NL,PBVO,HERAS2013,18,2013,7,2,18,3,58.4,1.459,1,38000,-70,,18
NL,PBVO,HERAS2013,19,2013,7,2,18,9,58.4,1.427,1,38000,-70,,19
NL,PBVO,HERAS2013,20,2013,7,2,18,14,58.4,1.396,1,38000,-70,,20
NL,PBVO,HERAS2013,21,2013,7,2,18,20,58.4,1.364,1,38000,-70,,21
NL,PBVO,HERAS2013,22,2013,7,2,18,25,58.4,1.333,1,38000,-70,,22
NL,PBVO,HERAS2013,23,2013,7,2,18,31,58.4,1.301,1,38000,-70,,23
NL,PBVO,HERAS2013,24,2013,7,2,18,37,58.4,1.27,1,38000,-70,,24
NL,PBVO,HERAS2013,25,2013,7,2,18,42,58.401,1.238,1,38000,-70,,25
NL,PBVO,HERAS2013,26,2013,7,2,18,48,58.401,1.207,1,38000,-70,,26
NL,PBVO,HERAS2013,27,2013,7,2,18,53,58.401,1.176,1,38000,-70,,27
NL,PBVO,HERAS2013,28,2013,7,2,18,59,58.401,1.144,1,38000,-70,,28
NL,PBVO,HERAS2013,29,2013,7,2,19,5,58.401,1.113,1,38000,-70,,29
NL,PBVO,HERAS2013,30,2013,7,2,19,10,58.401,1.081,1,38000,-70,,30
NL,PBVO,HERAS2013,31,2013,7,2,19,16,58.401,1.05,1,38000,-70,,31
NL,PBVO,HERAS2013,32,2013,7,2,19,21,58.402,1.018,1,38000,-70,,32
NL,PBVO,HERAS2013,33,2013,7,2,19,27,58.402,0.987,1,38000,-70,,33
NL,PBVO,HERAS2013,34,2013,7,2,19,33,58.402,0.955,1,38000,-70,,34
NL,PBVO,HERAS2013,35,2013,7,2,19,38,58.402,0.924,1,38000,-70,,35
NL,PBVO,HERAS2013,36,2013,7,2,19,44,58.402,0.892,1,38000,-70,,36
NL,PBVO,HERAS2013,37,2013,7,2,19,49,58.402,0.861,1,38000,-70,,37
NL,PBVO,HERAS2013,38,2013,7,2,19,55,58.402,0.83,1,38000,-70,,38
NL,PBVO,HERAS2013,39,2013,7,2,20,1,58.402,0.798,1,38000,-70,,39
NL,PBVO,HERAS2013,40,2013,7,2,20,6,58.402,0.767,1,38000,-70,,40
NL,PBVO,HERAS2013,41,2013,7,2,20,12,58.401,0.736,1,38000,-70,,41
NL,PBVO,HERAS2013,42,2013,7,2,20,18,58.401,0.705,1,38000,-70,,42
NL,PBVO,HERAS2013,43,2013,7,2,20,23,58.401,0.673,1,38000,-70,,43
NL,PBVO,HERAS2013,44,2013,7,2,20,29,58.4,0.642,1,38000,-70,,44
NL,PBVO,HERAS2013,45,2013,7,2,20,35,58.401,0.611,1,38000,-70,,45
NL,PBVO,HERAS2013,46,2013,7,2,20,40,58.401,0.58,1,38000,-70,,46
NL,PBVO,HERAS2013,47,2013,7,2,20,46,58.401,0.549,1,38000,-70,,47
NL,PBVO,HERAS2013,48,2013,7,2,20,51,58.401,0.517,1,38000,-70,,48
NL,PBVO,HERAS2013,58,2013,7,3,2,0,58.402,0.476,1,38000,-70,,58
NL,PBVO,HERAS2013,59,2013,7,3,2,6,58.4,0.445,1,38000,-70,,59
NL,PBVO,HERAS2013,60,2013,7,3,2,12,58.399,0.414,1,38000,-70,,60
NL,PBVO,HERAS2013,61,2013,7,3,2,18,58.399,0.383,1,38000,-70,,61
NL,PBVO,HERAS2013,62,2013,7,3,2,24,58.399,0.351,1,38000,-70,,62
NL,PBVO,HERAS2013,73,2013,7,3,4,27,58.4,0.331,1,38000,-70,,73
NL,PBVO,HERAS2013,74,2013,7,3,4,32,58.4,0.3,1,38000,-70,,74
NL,PBVO,HERAS2013,75,2013,7,3,4,38,58.4,0.269,1,38000,-70,,75
NL,PBVO,HERAS2013,76,2013,7,3,4,44,58.4,0.237,1,38000,-70,,76
NL,PBVO,HERAS2013,77,2013,7,3,4,50,58.4,0.206,1,38000,-70,,77
NL,PBVO,HERAS2013,78,2013,7,3,4,55,58.399,0.174,1,38000,-70,,78
NL,PBVO,HERAS2013,79,2013,7,3,5,1,58.399,0.143,1,38000,-70,,79
NL,PBVO,HERAS2013,80,2013,7,3,5,6,58.399,0.111,1,38000,-70,,80
NL,PBVO,HERAS2013,81,2013,7,3,5,12,58.399,0.08,1,38000,-70,,81
NL,PBVO,HERAS2013,82,2013,7,3,5,18,58.399,0.048,1,38000,-70,,82
NL,PBVO,HERAS2013,83,2013,7,3,5,23,58.399,0.017,1,38000,-70,,83
NL,PBVO,HERAS2013,84,2013,7,3,5,29,58.398,-0.015,1,38000,-70,,84
NL,PBVO,HERAS2013,85,2013,7,3,5,34,58.398,-0.046,1,38000,-70,,85
NL,PBVO,HERAS2013,86,2013,7,3,5,40,58.398,-0.078,1,38000,-70,,86
NL,PBVO,HERAS2013,87,2013,7,3,5,46,58.399,-0.109,1,38000,-70,,87
NL,PBVO,HERAS2013,88,2013,7,3,5,51,58.399,-0.141,1,38000,-70,,88
NL,PBVO,HERAS2013,89,2013,7,3,5,57,58.4,-0.172,1,38000,-70,,89
NL,PBVO,HERAS2013,90,2013,7,3,6,3,58.4,-0.204,1,38000,-70,,90
NL,PBVO,HERAS2013,91,2013,7,3,6,8,58.401,-0.235,1,38000,-70,,91
NL,PBVO,HERAS2013,92,2013,7,3,6,14,58.402,-0.267,1,38000,-70,,92
NL,PBVO,HERAS2013,93,2013,7,3,6,20,58.401,-0.298,1,38000,-70,,93
NL,PBVO,HERAS2013,94,2013,7,3,6,25,58.4,-0.329,1,38000,-70,,94
NL,PBVO,HERAS2013,95,2013,7,3,6,31,58.4,-0.361,1,38000,-70,,95
NL,PBVO,HERAS2013,96,2013,7,3,6,37,58.399,-0.392,1,38000,-70,,96
NL,PBVO,HERAS2013,97,2013,7,3,6,43,58.398,-0.423,1,38000,-70,,97
NL,PBVO,HERAS2013,98,2013,7,3,6,48,58.397,-0.454,1,38000,-70,,98
NL,PBVO,HERAS2013,99,2013,7,3,6,54,58.396,-0.486,0.6,38000,-70,,99
NL,PBVO,HERAS2013,100,2013,7,3,7,15,58.394,-0.509,1,38000,-70,,100
NL,PBVO,HERAS2013,101,2013,7,3,7,21,58.394,-0.541,1,38000,-70,,101
NL,PBVO,HERAS2013,110,2013,7,3,8,54,58.393,-0.564,1,38000,-70,,110
NL,PBVO,HERAS2013,111,2013,7,3,8,59,58.393,-0.596,1,38000,-70,,111
NL,PBVO,HERAS2013,112,2013,7,3,9,5,58.394,-0.627,1,38000,-70,,112
NL,PBVO,HERAS2013,113,2013,7,3,9,11,58.395,-0.658,1,38000,-70,,113
NL,PBVO,HERAS2013,114,2013,7,3,9,17,58.396,-0.69,1,38000,-70,,114
NL,PBVO,HERAS2013,115,2013,7,3,9,22,58.397,-0.721,1,38000,-70,,115
NL,PBVO,HERAS2013,116,2013,7,3,9,28,58.398,-0.752,1,38000,-70,,116
NL,PBVO,HERAS2013,117,2013,7,3,9,34,58.399,-0.784,1,38000,-70,,117
NL,PBVO,HERAS2013,118,2013,7,3,9,40,58.4,-0.815,1,38000,-70,,118
NL,PBVO,HERAS2013,119,2013,7,3,9,45,58.4,-0.846,1,38000,-70,,119
NL,PBVO,HERAS2013,120,2013,7,3,9,51,58.4,-0.878,1,38000,-70,,120
NL,PBVO,HERAS2013,121,2013,7,3,9,57,58.4,-0.909,1,38000,-70,,121
NL,PBVO,HERAS2013,122,2013,7,3,10,3,58.4,-0.941,1,38000,-70,,122
NL,PBVO,HERAS2013,123,2013,7,3,10,8,58.399,-0.972,1,38000,-70,,123
NL,PBVO,HERAS2013,124,2013,7,3,10,14,58.398,-1.004,1,38000,-70,,124
NL,PBVO,HERAS2013,125,2013,7,3,10,20,58.398,-1.036,1,38000,-70,,125
NL,PBVO,HERAS2013,126,2013,7,3,10,25,58.397,-1.067,1,38000,-70,,126
NL,PBVO,HERAS2013,127,2013,7,3,10,31,58.397,-1.099,1,38000,-70,,127
NL,PBVO,HERAS2013,128,2013,7,3,10,37,58.397,-1.131,1,38000,-70,,128
NL,PBVO,HERAS2013,129,2013,7,3,10,42,58.397,-1.163,1,38000,-70,,129
NL,PBVO,HERAS2013,130,2013,7,3,10,48,58.397,-1.194,1,38000,-70,,130
