Country,Vessel,Cruise,Log,Year,Month,Day,Species,ChUppDepth,ChLowDepth,SA
NL,PBVO,HERAS2013,3,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,3,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,5,2013,7,2,HER,0,50,111.67
NL,PBVO,HERAS2013,5,2013,7,2,HER,50,100,11.44
NL,PBVO,HERAS2013,7,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,7,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,7,2013,7,2,HER,100,150,7.19
NL,PBVO,HERAS2013,8,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,8,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,8,2013,7,2,HER,100,150,0.1
NL,PBVO,HERAS2013,9,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,9,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,9,2013,7,2,HER,100,150,8.56
NL,PBVO,HERAS2013,18,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,18,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,18,2013,7,2,HER,100,150,52.25
NL,PBVO,HERAS2013,19,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,19,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,19,2013,7,2,HER,100,150,265.51
NL,PBVO,HERAS2013,20,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,20,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,20,2013,7,2,HER,100,150,8.7
NL,PBVO,HERAS2013,21,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,21,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,21,2013,7,2,HER,100,150,0.99
NL,PBVO,HERAS2013,22,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,22,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,22,2013,7,2,HER,100,150,2.21
NL,PBVO,HERAS2013,23,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,23,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,23,2013,7,2,HER,100,150,1.19
NL,PBVO,HERAS2013,24,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,24,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,24,2013,7,2,HER,100,150,7.74
NL,PBVO,HERAS2013,25,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,25,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,25,2013,7,2,HER,100,150,0.35
NL,PBVO,HERAS2013,26,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,26,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,26,2013,7,2,HER,100,150,167.03
NL,PBVO,HERAS2013,27,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,27,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,27,2013,7,2,HER,100,150,541.17
NL,PBVO,HERAS2013,28,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,28,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,28,2013,7,2,HER,100,150,507.08
NL,PBVO,HERAS2013,29,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,29,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,29,2013,7,2,HER,100,150,48.39
NL,PBVO,HERAS2013,30,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,30,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,30,2013,7,2,HER,100,150,73.39
NL,PBVO,HERAS2013,31,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,31,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,31,2013,7,2,HER,100,150,187.09
NL,PBVO,HERAS2013,32,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,32,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,32,2013,7,2,HER,100,150,0
NL,PBVO,HERAS2013,33,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,33,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,33,2013,7,2,HER,100,150,0
NL,PBVO,HERAS2013,34,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,34,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,34,2013,7,2,HER,100,150,69.71
NL,PBVO,HERAS2013,35,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,35,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,35,2013,7,2,HER,100,150,0
NL,PBVO,HERAS2013,36,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,36,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,36,2013,7,2,HER,100,150,0
NL,PBVO,HERAS2013,37,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,37,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,37,2013,7,2,HER,100,150,48.63
NL,PBVO,HERAS2013,38,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,38,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,38,2013,7,2,HER,100,150,50.13
NL,PBVO,HERAS2013,39,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,39,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,39,2013,7,2,HER,100,150,56.96
NL,PBVO,HERAS2013,40,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,40,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,40,2013,7,2,HER,100,150,49.24
NL,PBVO,HERAS2013,41,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,41,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,41,2013,7,2,HER,100,150,263.48
NL,PBVO,HERAS2013,42,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,42,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,42,2013,7,2,HER,100,150,849.72
NL,PBVO,HERAS2013,43,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,43,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,43,2013,7,2,HER,100,150,135.47
NL,PBVO,HERAS2013,44,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,44,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,44,2013,7,2,HER,100,150,15.04
NL,PBVO,HERAS2013,45,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,45,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,45,2013,7,2,HER,100,150,14.25
NL,PBVO,HERAS2013,46,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,46,2013,7,2,HER,50,100,0
NL,PBVO,HERAS2013,46,2013,7,2,HER,100,150,0
NL,PBVO,HERAS2013,47,2013,7,2,HER,0,50,0
NL,PBVO,HERAS2013,47,2013,7,2,HER,50,100,0
