Country,Vessel,Cruise,Log,Year,Month,Day,Species,ChUppDepth,ChLowDepth,SA
NL,HERAS2014,HERAS2014,1.5,2014,6,30,HER,0,50,0
NL,HERAS2015,HERAS2015,2,2014,6,30,HER,0,50,0
NL,HERAS2016,HERAS2016,2.5,2014,6,30,HER,0,50,0
NL,HERAS2017,HERAS2017,3,2014,6,30,HER,0,50,0
NL,HERAS2018,HERAS2018,3,2014,6,30,HER,50,100,0
NL,HERAS2019,HERAS2019,3.5,2014,6,30,HER,0,50,0
NL,HERAS2020,HERAS2020,3.5,2014,6,30,HER,50,100,0
NL,HERAS2021,HERAS2021,4,2014,6,30,HER,0,50,0
NL,HERAS2022,HERAS2022,4,2014,6,30,HER,50,100,0
NL,HERAS2023,HERAS2023,4.5,2014,6,30,HER,0,50,0
NL,HERAS2024,HERAS2024,4.5,2014,6,30,HER,50,100,0
NL,HERAS2025,HERAS2025,5,2014,6,30,HER,0,50,0
NL,HERAS2026,HERAS2026,5,2014,6,30,HER,50,100,0
NL,HERAS2027,HERAS2027,5.5,2014,6,30,HER,0,50,0
NL,HERAS2028,HERAS2028,5.5,2014,6,30,HER,50,100,0
NL,HERAS2029,HERAS2029,6,2014,6,30,HER,0,50,0
NL,HERAS2030,HERAS2030,6,2014,6,30,HER,50,100,0
NL,HERAS2031,HERAS2031,6.5,2014,6,30,HER,0,50,0
NL,HERAS2032,HERAS2032,6.5,2014,6,30,HER,50,100,0
NL,HERAS2033,HERAS2033,7,2014,6,30,HER,0,50,0
NL,HERAS2034,HERAS2034,7,2014,6,30,HER,50,100,0
NL,HERAS2035,HERAS2035,7.5,2014,6,30,HER,0,50,0
NL,HERAS2036,HERAS2036,7.5,2014,6,30,HER,50,100,0
NL,HERAS2037,HERAS2037,8,2014,6,30,HER,0,50,0
NL,HERAS2038,HERAS2038,8,2014,6,30,HER,50,100,0
NL,HERAS2039,HERAS2039,8.5,2014,6,30,HER,0,50,0
NL,HERAS2040,HERAS2040,8.5,2014,6,30,HER,50,100,0
NL,HERAS2041,HERAS2041,9,2014,6,30,HER,0,50,0
NL,HERAS2042,HERAS2042,9,2014,6,30,HER,50,100,0
NL,HERAS2043,HERAS2043,9.5,2014,6,30,HER,0,50,0
NL,HERAS2044,HERAS2044,9.5,2014,6,30,HER,50,100,0
NL,HERAS2045,HERAS2045,10,2014,6,30,HER,0,50,0
NL,HERAS2046,HERAS2046,10,2014,6,30,HER,50,100,0
NL,HERAS2047,HERAS2047,10.5,2014,6,30,HER,0,50,0
