Country,Vessel,Cruise,Log,Year,Month,Day,Species,ChUppDepth,ChLowDepth,SA
NL,PBVO,HERAS2015,343,2015,6,29,HER,50,100,135.96
NL,PBVO,HERAS2015,344,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,344,2015,6,29,HER,50,100,0
NL,PBVO,HERAS2015,345,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,345,2015,6,29,HER,50,100,0
NL,PBVO,HERAS2015,346,2015,6,29,HER,0,50,53.06
NL,PBVO,HERAS2015,346,2015,6,29,HER,50,100,0
NL,PBVO,HERAS2015,347,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,347,2015,6,29,HER,50,100,0
NL,PBVO,HERAS2015,348,2015,6,29,HER,0,50,51.45
NL,PBVO,HERAS2015,348,2015,6,29,HER,50,100,527.54
NL,PBVO,HERAS2015,349,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,349,2015,6,29,HER,50,100,0
NL,PBVO,HERAS2015,350,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,350,2015,6,29,HER,50,100,40.43
NL,PBVO,HERAS2015,351,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,351,2015,6,29,HER,50,100,0
NL,PBVO,HERAS2015,352,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,352,2015,6,29,HER,50,100,21.18
NL,PBVO,HERAS2015,353,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,353,2015,6,29,HER,50,100,109.74
NL,PBVO,HERAS2015,354,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,354,2015,6,29,HER,50,100,0
NL,PBVO,HERAS2015,355,2015,6,29,HER,0,50,0
NL,PBVO,HERAS2015,355,2015,6,29,HER,50,100,0
NL,PBVO,HERAS2015,360,2015,6,30,HER,0,50,0
NL,PBVO,HERAS2015,360,2015,6,30,HER,50,100,0
NL,PBVO,HERAS2015,361,2015,6,30,HER,0,50,0
NL,PBVO,HERAS2015,361,2015,6,30,HER,50,100,0
NL,PBVO,HERAS2015,362,2015,6,30,HER,0,50,146.63
NL,PBVO,HERAS2015,362,2015,6,30,HER,50,100,0
NL,PBVO,HERAS2015,362,2015,6,30,HER,100,150,0
NL,PBVO,HERAS2015,363,2015,6,30,HER,0,50,0
NL,PBVO,HERAS2015,363,2015,6,30,HER,50,100,0
NL,PBVO,HERAS2015,363,2015,6,30,HER,100,150,0
NL,PBVO,HERAS2015,364,2015,6,30,HER,0,50,0
NL,PBVO,HERAS2015,364,2015,6,30,HER,50,100,0
NL,PBVO,HERAS2015,364,2015,6,30,HER,100,150,0
NL,PBVO,HERAS2015,365,2015,6,30,HER,0,50,203.34
NL,PBVO,HERAS2015,365,2015,6,30,HER,50,100,2.34
NL,PBVO,HERAS2015,365,2015,6,30,HER,100,150,0.88
