haul,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10.5,,,,1,2,,,,,,,,,,,,,,
11,,,,9,32,,,,,,,,,3,3,,,,
11.5,,,,27,73,,,,,,,,,6,10,,1,,10
12,,,,28,74,,,,,,,,,13,26,11,14,20,66
12.5,,,,12,25,,,,,,,,,24,22,32,47,35,79
13,,,,9,12,,,,,,,,,34,27,34,72,59,23
13.5,,,,3,1,,,,,,,,,10,11,25,15,18,5
14,,,,2,,,,,,,,,,2,2,15,2,7,1
14.5,,,,,,,,,,,,,,1,1,3,,2,
15,,,,,,,,,,,,,,,,1,,1,
